                            name    tag dec  tag hex   imm     proc   memory
                             NOP          0        0     0        0        0
                             NOT          1        1     0        0        0
                               @          2        2    -1   532C0C        0
                             SHL          3        3     0        0        0
                             SHR          4        4     0        0        0
                            SHRA          5        5     0        0        0
                          INPORT          2        2    -1   532C0C        0
                              FP          6        6     0        0        0
                            SWAP          7        7     0        0        0
                             DUP          8        8     0        0        0
                            OVER          9        9     0        0        0
                              R>         10        A     0        0        0
                            LOOP         11        B    -1   532C78        0
                         SYSREG@         12        C     0        0        0
                               +         13        D    -1   532444        0
                               -         14        E    -1   532444        0
                               *         21       15    -1   532444        0
                             AND         15        F     0        0        0
                              OR         16       10     0        0        0
                             XOR         17       11     0        0        0
                               =         18       12     0        0        0
                               <         19       13     0        0        0
                               >         20       14     0        0        0
                            DROP         22       16     0        0        0
                             JMP         23       17     0        0        0
                            CALL         24       18     0        0        0
                            RJMP         25       19     0        0        0
                              >R         26       1A     0        0        0
                         OUTPORT         27       1B     0        0        0
                               !         27       1B     0        0        0
                              DO         28       1C     0        0        0
                             RIF         29       1D     0        0        0
                           UNTIL         30       1E     0        0        0
                               ;          0        0    -1   5325D4        0
                         ENDPROC          0        0    -1   5325D4        0
                            EXIT         31       1F     0        0        0
                             RET         31       1F     0        0        0
                              //          0        0    -1   531F58        0
                               \          0        0    -1   531F58        0
                              IF          0        0    -1   531F70        0
                            ELSE          0        0    -1   531FA0        0
                            THEN          0        0    -1   532008        0
                           MAIN:          0        0    -1   53204C        0
                           BEGIN          0        0    -1   532084        0
                           AGAIN          0        0    -1   5320BC        0
                           WHILE          0        0    -1   532170        0
                          REPEAT          0        0    -1   5321A8        0
                           UNTIL          0        0    -1   532108        0
                            PROC          0        0    -1   5325B8        0
                               :          0        0    -1   5325B8        0
                        VARIABLE          0        0    -1   5326D0        0
                          CREATE          0        0    -1   532730        0
                           ARRAY          0        0    -1   532B1C        0
                             CMD          0        0    -1   532CA4        0
                          INLINE          0        0    -1   532D08        0
                               L          0        0    -1   532DF0        0
                              ,Z          0        0    -1   53302C        0
                               ,          0        0    -1   5330A8        0
                            [C],          0        0    -1   533050        0
                           ALLOT          0        0    -1   533108        0
                               '          0        0    -1   5323D4        0
                             USE          0        0    -1   5323D4        0
                          STRUCT          0        0    -1   533160        0
                              --          0        0    -1   533220        0
                      END-STRUCT          0        0    -1   5338A8        0
                               {          0        0    -1   532FF8        0
                               }          0        0    -1   5325D4        0
                               "          0        0    -1   532280        0
                  DumpVocabulary          0        0    -1   53278C        0
                            HERE          0        0    -1   532BBC        0
                         [C]HERE          1        1    -1   532BBC        0
                       #MaxCode=   10711096   A37038    -1   532BDC        0
                       #MaxData=   10711100   A3703C    -1   532BDC        0
                            #COM          0        0    -1   560914        0
                       #BAUDRATE          0        0    -1   5609D0        0
                      #PACKSIZE=          0        0    -1   560A38        0
                      #WAITCOEF=          0        0    -1   560AA0        0
                     CpuBaseAddr          9        9    -1   532640   A70EF0
                           CELLS          9        9    -1   532640   A71030
                             -TH          9        9    -1   532640   A71040
                              -1          9        9    -1   532640   A71080
                          NEGATE          9        9    -1   532640   A71090
                              0<          9        9    -1   532610        0
                              0>         21       15    -1   532610        0
                             ABS         27       1B    -1   532610        0
                          34NOPS         37       25    -1   532610        0
                      SETDIVALOW         72       48    -1   532640   A710A0
                     SETDIVAHIGH         72       48    -1   532640   A710B0
                         SETDIVB         72       48    -1   532640   A710C0
                     STARTDIVIDE         72       48    -1   532640   A710D0
                        DIVASHRA         72       48    -1   532640   A710E0
                         DIVASHR         72       48    -1   532640   A710F0
                         DIVASHL         72       48    -1   532640   A71100
                     TIMERTODIVA         72       48    -1   532640   A71110
                         COMINIT         72       48    -1   532640   A71120
                     TestGetByte         72       48    -1   532640   A71130
                     DividerSign          2        2    -1   532BBC        0
                           DEPTH         72       48    -1   532640   A71140
                          RDEPTH         72       48    -1   532640   A71150
                               I         72       48    -1   532640   A71160
                               /         72       48    -1   532610        0
                             MOD        128       80    -1   532640   A71170
                            /MOD        128       80    -1   532640   A71180
                   COMREADYFORTX        128       80    -1   532640   A71190
                     COMRECEIVED        128       80    -1   532640   A711A0
                      COMNEWDATA        128       80    -1   532640   A711B0
                    SYSTIMER_LOW        128       80    -1   532640   A711C0
                     SYSTIMER_HI        128       80    -1   532640   A711D0
                            USEC        128       80    -1   532640   A711E0
                            MSEC        128       80    -1   532640   A711F0
                             SEC        128       80    -1   532640   A71200
                            MINS        128       80    -1   532640   A71210
                            HOUR        128       80    -1   532640   A71220
                          MULT64        128       80    -1   532640   A71230
                         DIVALOW        128       80    -1   532640   A71240
                        DIVAHIGH        128       80    -1   532640   A71250
                       RXCOUNTER        128       80    -1   532640   A71260
                       TXCOUNTER        128       80    -1   532640   A71270
                       USCOUNTER        128       80    -1   532640   A71280
                              <<        128       80    -1   532610        0
                              >>        143       8F    -1   532610        0
                             >>A        158       9E    -1   532610        0
                           ->COM        173       AD    -1   532610        0
                         ->COM16        182       B6    -1   532610        0
                         ->COM32        197       C5    -1   532610        0
                           PRINT        234       EA    -1   532610        0
                          SPACES        253       FD    -1   532610        0
                         COMDATA          3        3    -1   532BBC        0
                        CHECKCOM        264      108    -1   532640   A71290
                      GETCOMDATA        264      108    -1   532640   A712A0
                              n1          4        4    -1   532BBC        0
                             n10          5        5    -1   532BBC        0
                            n100          6        6    -1   532BBC        0
                           n1000          7        7    -1   532BBC        0
                          n10000          8        8    -1   532BBC        0
                         n100000          9        9    -1   532BBC        0
                        n1000000         10        A    -1   532BBC        0
                       n10000000         11        B    -1   532BBC        0
                      n100000000         12        C    -1   532BBC        0
                     n1000000000         13        D    -1   532BBC        0
                          strbuf         14        E    -1   532BBC        0
                        CurConst         30       1E    -1   532BBC        0
                             cur         31       1F    -1   532BBC        0
                        IntToStr        340      154    -1   532610        0
                            sign         32       20    -1   532BBC        0
                             num         33       21    -1   532BBC        0
                        StrToInt        508      1FC    -1   532610        0
                          StrCmp        609      261    -1   532610        0
                        STR->COM        648      288    -1   532610        0
                        INT->COM        670      29E    -1   532610        0
                       BYTE->COM        677      2A5    -1   532610        0
                          CR_COM        711      2C7    -1   532640   A712B0
                         TAB_COM        711      2C7    -1   532640   A712C0
                        HEXDIGIT        711      2C7    -1   532610        0
                        HEX->COM        732      2DC    -1   532610        0
                      HEX16->COM        746      2EA    -1   532610        0
                      HEX32->COM        763      2FB    -1   532610        0
                       BINX->COM        781      30D    -1   532610        0
                        BIN->COM        830      33E    -1   532640   A712D0
                      BIN16->COM        830      33E    -1   532640   A712E0
                      BIN32->COM        830      33E    -1   532640   A712F0
                             RND         34       22    -1   532BBC        0
                       RANDOMIZE        830      33E    -1   532610        0
                          RANDOM        841      349    -1   532610        0
                          CHOOSE        875      36B    -1   532610        0
                              'J         35       23    -1   532BBC        0
                               J        897      381    -1   532640   A71300
                              J!        897      381    -1   532640   A71310
                           SMOVE        897      381    -1   532610        0
                              S>        924      39C    -1   532610        0
                              S<        929      3A1    -1   532610        0
                     ByteReverse        933      3A5    -1   532610        0
                             OFF        986      3DA    -1   532610        0
                              ON        990      3DE    -1   532610        0
           MemoryFunction.Source         36       24    -1   532BBC        0
             MemoryFunction.Dest         37       25    -1   532BBC        0
           MemoryFunction.Result         38       26    -1   532BBC        0
                      CopyMemory        995      3E3    -1   532610        0
                   CompareMemory       1087      43F    -1   532610        0
                       WriteAddr         39       27    -1   532BBC        0
                          Write,       1144      478    -1   532610        0
                      WriteByte,       1164      48C    -1   532610        0
                    WriteWordBE,       1179      49B    -1   532610        0
                     WriteIntBE,       1200      4B0    -1   532610        0
                    WriteWordLE,       1226      4CA    -1   532610        0
                     WriteIntLE,       1247      4DF    -1   532610        0
                       WriteStr,       1273      4F9    -1   532610        0
                     WriteStrLn,       1294      50E    -1   532610        0
                       LECombine       1311      51F    -1   532610        0
                       BECombine       1348      544    -1   532610        0
                      IntCombine       1381      565    -1   532610        0
                     WordCombine       1422      58E    -1   532640   A6F3D0
                  WordCombineSXT       1422      58E    -1   532610        0
                          StrLen       1455      5AF    -1   532610        0
                      FCmdIsFull       1476      5C4    -1   532640   A71320
                     FCmdIsEmpty       1476      5C4    -1   532640   A71330
                             FPA       1476      5C4    -1   532640   A71340
                          FDEPTH       1476      5C4    -1   532640   A71350
                             FPB       1476      5C4    -1   532640   A71360
                       FPMODULES       1476      5C4    -1   532640   A71370
                      FP_TOFLOAT       1476      5C4    -1   532640   A71380
                        FP_TOINT       1476      5C4    -1   532640   A71390
                          FP_ADD       1476      5C4    -1   532640   A713A0
                         FP_MULT       1476      5C4    -1   532640   A713B0
                          FP_DIV       1476      5C4    -1   532640   A713C0
                          FP_CMP       1476      5C4    -1   532640   A713D0
                           FP_LN       1476      5C4    -1   532640   A713E0
                         FP_SQRT       1476      5C4    -1   532640   A713F0
                 FTOFLOAT.EXISTS       1476      5C4    -1   532640   A71400
                   FTOINT.EXISTS       1476      5C4    -1   532640   A71410
                     FADD.EXISTS       1476      5C4    -1   532640   A71420
                    FMULT.EXISTS       1476      5C4    -1   532640   A71430
                     FDIV.EXISTS       1476      5C4    -1   532640   A71440
                     FCMP.EXISTS       1476      5C4    -1   532640   A71450
                      FLN.EXISTS       1476      5C4    -1   532640   A71460
                    FSQRT.EXISTS       1476      5C4    -1   532640   A71470
                            FNOP       1476      5C4    -1   532640   A71480
                           FSWAP       1476      5C4    -1   532640   A71490
                        FTOFLOAT       1476      5C4    -1   532640   A714A0
                          FTOINT       1476      5C4    -1   532640   A714B0
                           FSQRT       1476      5C4    -1   532640   A714C0
                             FLN       1476      5C4    -1   532640   A714D0
                            FABS       1476      5C4    -1   532640   A714E0
                        FCMPZERO       1476      5C4    -1   532640   A714F0
                              F+       1476      5C4    -1   532640   A71500
                              F-       1476      5C4    -1   532640   A71510
                           FDROP       1476      5C4    -1   532640   A71520
                            FCMP       1476      5C4    -1   532640   A71530
                              F*       1476      5C4    -1   532640   A71540
                              F/       1476      5C4    -1   532640   A71550
                            FDUP       1476      5C4    -1   532640   A71560
                           FPUSH       1476      5C4    -1   532640   A6F628
                              FE       1476      5C4    -1   532640   A71570
                             FPI       1476      5C4    -1   532640   A71580
                           FOVER       1476      5C4    -1   532640   A71590
                            FPOP       1476      5C4    -1   532610        0
                             S>F       1496      5D8    -1   532610        0
                             F>S       1513      5E9    -1   532610        0
                              F=       1520      5F0    -1   532610        0
                              F>       1532      5FC    -1   532610        0
                              F<       1544      608    -1   532610        0
                             F0=       1556      614    -1   532610        0
                             F0<       1567      61F    -1   532610        0
                             F0>       1578      62A    -1   532610        0
                        F.DIGITS         40       28    -1   532BBC        0
                              F.       1589      635    -1   532610        0
                     SysBaseAddr       1842      732    -1   532640   A715A0
                  MeasureMemAddr       1842      732    -1   532640   A715B0
                     MRTBaseAddr       1842      732    -1   532640   A715C0
                     DACBaseAddr       1842      732    -1   532640   A715D0
                 AD5781_BaseAddr       1842      732    -1   532640   A715E0
                        AD5781_1       1842      732    -1   532640   A715F0
                        AD5781_2       1842      732    -1   532640   A71600
                        AD5781_3       1842      732    -1   532640   A71610
                        AD5781_4       1842      732    -1   532640   A71620
                     ADCBaseAddr       1842      732    -1   532640   A71630
                      cADCA_Gain       1842      732    -1   532640   A71640
                      cADCB_Gain       1842      732    -1   532640   A71650
                    cADC_TestBuf       1842      732    -1   532640   A71660
                       cADCA_DCM       1842      732    -1   532640   A71670
                       cADCB_DCM       1842      732    -1   532640   A71680
               TableProcBaseAddr       1842      732    -1   532640   A71690
                TableLenBaseAddr       1842      732    -1   532640   A716A0
           ModulationMemBaseAddr       1842      732    -1   532640   A716B0
                    TimeBaseAddr       1842      732    -1   532640   A716C0
                      GxBaseAddr       1842      732    -1   532640   A716D0
                      GyBaseAddr       1842      732    -1   532640   A716E0
                      GzBaseAddr       1842      732    -1   532640   A716F0
                      GaBaseAddr       1842      732    -1   532640   A71700
                    AmplBaseAddr       1842      732    -1   532640   A71710
                   BlankBaseAddr       1842      732    -1   532640   A71720
                WaveFormBaseAddr       1842      732    -1   532640   A71730
                 AcquireBaseAddr       1842      732    -1   532640   A71740
                 SlcFreqBaseAddr       1842      732    -1   532640   A71750
        ADC_TestBuf_StartMeasure       1842      732    -1   532640   A6F598
                     AD5781_Init       1842      732    -1   532640   A66D00
                      FreqFactor         63       3F    -1   532BBC        0
                     OffsetSlice         64       40    -1   532BBC        0
                     Orientation         65       41    -1   532BBC        0
                         ScaleGX         66       42    -1   532BBC        0
                         ScaleGY         67       43    -1   532BBC        0
                         ScaleGZ         68       44    -1   532BBC        0
                        OffsetGX         69       45    -1   532BBC        0
                        OffsetGY         70       46    -1   532BBC        0
                        OffsetGZ         71       47    -1   532BBC        0
                         Samples         72       48    -1   532BBC        0
                              Gx         73       49    -1   532BBC        0
                              Gy         74       4A    -1   532BBC        0
                              Gz         75       4B    -1   532BBC        0
                      SetADCgain       1842      732    -1   532610        0
                          GetMem       1899      76B    -1   532610        0
                    ShiftDCM_ADC       1944      798    -1   532610        0
                       GetADCMem       2023      7E7    -1   532610        0
                      ItemsCount         76       4C    -1   532BBC        0
                        GPhase[]         77       4D    -1   532BBC        0
                        GSlice[]         93       5D    -1   532BBC        0
                         GRead[]        109       6D    -1   532BBC        0
                   SetItemsCount       2061      80D    -1   532640   A6F550
                              Ti        125       7D    -1   532BBC        0
                   SendGradients       2075      81B    -1   532610        0
                SendAllGradients       2746      ABA    -1   532610        0
                        BaseFreq        126       7E    -1   532BBC        0
                    SetShiftFreq       2763      ACB    -1   532610        0
                         SetFreq       2863      B2F    -1   532610        0
                        SetPhase       2925      B6D    -1   532610        0
                       SetTfront       2975      B9F    -1   532640   A71760
                           SetTR       2975      B9F    -1   532640   A71770
                      SetTrigger       2975      B9F    -1   532640   A71780
                   SetSampleRate       2975      B9F    -1   532610        0
                      SetSamples       2987      BAB    -1   532640   A6F358
                     BroadCastEn        127       7F    -1   532BBC        0
                    NeedSendOnce        128       80    -1   532BBC        0
                        OldCount        129       81    -1   532BBC        0
                     EthBaseAddr       3005      BBD    -1   532640   A71790
                        BaseAddr       3005      BBD    -1   532640   A717A0
                  BroadcastMAC[]        130       82    -1   532BBC        0
                   BroadcastIP[]        136       88    -1   532BBC        0
                        OurMAC[]        140       8C    -1   532BBC        0
                         OurIP[]        146       92    -1   532BBC        0
                          PCIP[]        150       96    -1   532BBC        0
                          Metric        154       9A    -1   532BBC        0
                             MTU       3005      BBD    -1   532640   A717B0
                     IPv4Process        155       9B    -1   532BBC        0
            IPv4FragmentedDecode       3005      BBD    -1   532640   A717C0
                     opcode_read       3005      BBD    -1   532640   A717D0
                    opcode_write       3005      BBD    -1   532640   A717E0
                       SetOpcode       3005      BBD    -1   532640   A717F0
                      SetPhyAddr       3005      BBD    -1   532640   A71800
                      SetRegAddr       3005      BBD    -1   532640   A71810
                      SetRegData       3005      BBD    -1   532640   A71820
                         EthSend       3005      BBD    -1   532640   A71830
                    SetDataDelay       3005      BBD    -1   532640   A71840
                     SetPhyReset       3005      BBD    -1   532640   A71850
                    RxFifoReaded       3005      BBD    -1   532640   A71860
                      SetRxRAddr       3005      BBD    -1   532640   A71870
                     TxFifoWrite       3005      BBD    -1   532640   A71880
                       SetTxAddr       3005      BBD    -1   532640   A71890
                       SetTxSize       3005      BBD    -1   532640   A718A0
                    SetRxCrcInit       3005      BBD    -1   532640   A718B0
                  SetRxCrcIgnore       3005      BBD    -1   532640   A718C0
                  SetRxStartAddr       3005      BBD    -1   532640   A718D0
                    SetTxCrcInit       3005      BBD    -1   532640   A718E0
                      SetEthMode       3005      BBD    -1   532640   A718F0
                      GetRegData       3005      BBD    -1   532640   A71900
                      EthSending       3005      BBD    -1   532640   A71910
                  GetFramesCount       3005      BBD    -1   532640   A71920
                  GetRxFifoEmpty       3005      BBD    -1   532640   A71930
                   GetRxFifoAddr       3005      BBD    -1   532640   A71940
                   GetRxFifoSize       3005      BBD    -1   532640   A71950
                GetFramesSuccess       3005      BBD    -1   532640   A71960
                   GetMemoryFull       3005      BBD    -1   532640   A71970
                     GetFifoFull       3005      BBD    -1   532640   A71980
                    GetCrcFailed       3005      BBD    -1   532640   A71990
                   GetTxFifoFull       3005      BBD    -1   532640   A719A0
                    GetTxSending       3005      BBD    -1   532640   A719B0
                         EthRead       3005      BBD    -1   532640   A6F640
                        EthWrite       3006      BBE    -1   532640   A6F400
                      EthRegWait       3016      BC8    -1   532640   A719C0
                     EthRegWrite       3016      BC8    -1   532610        0
                      EthRegRead       3056      BF0    -1   532610        0
                         EthAddr        156       9C    -1   532BBC        0
                         EthSize        157       9D    -1   532BBC        0
                      CTM.Source        158       9E    -1   532BBC        0
                        CTM.Dest        159       9F    -1   532BBC        0
                      CTM.Length        160       A0    -1   532BBC        0
                      CTM.Result        161       A1    -1   532BBC        0
                     EthToMemory       3108      C24    -1   532610        0
                        ETM.Addr        162       A2    -1   532BBC        0
                    EthToMemory,       3161      C59    -1   532610        0
                     MemoryToEth       3182      C6E    -1   532610        0
                        Eth,Addr        163       A3    -1   532BBC        0
                       ETH,Clear       3235      CA3    -1   532610        0
                           LETH,       3241      CA9    -1   532610        0
                           BETH,       3261      CBD    -1   532610        0
                    CalcChecksum       3287      CD7    -1   532610        0
               ChecksumNormalize       3326      CFE    -1   532610        0
                 TEthFrameHeader          0        0    -1   533374  41C3F80
            TEthFrameHeader.Size       3367      D27    -1   532640   A719D0
                EtalonPreamble[]        164       A4    -1   532BBC        0
                    EthTypeARP[]        172       AC    -1   532BBC        0
                    EthTypeIP4[]        174       AE    -1   532BBC        0
                      TARPHeader          0        0    -1   533374  41C4520
                 TARPHeader.Size       3367      D27    -1   532640   A719E0
                     ARP.Request        176       B0    -1   532BBC        0
                       ARP.Reply        178       B2    -1   532BBC        0
                     TIPv4Header          0        0    -1   533374  40D9D70
                TIPv4Header.Size       3367      D27    -1   532640   A719F0
                     IPv4Process        180       B4    -1   532BBC        0
                     IPv4Version        181       B5    -1   532BBC        0
                      IPv4Length        182       B6    -1   532BBC        0
